Term,Translation,Context
arakatu,examinar; indagar,Juridical Sciences & Law > Constitutional law
arakatu,averiguar,Juridical Sciences & Law > Finance law
arindu,aligerar,Juridical Sciences & Law > Constitutional law
arindu,atenuar,Juridical Sciences & Law > Finance law
atxiki,vincular,Juridical Sciences & Law > Constitutional law
atxiki,adherir; retener,Juridical Sciences & Law > Finance law
atxikimendu,vinculación; vínculo,Juridical Sciences & Law > Constitutional law
atxikimendu,adhesión,Juridical Sciences & Law > Finance law
barkamen,gracia; perdón,Juridical Sciences & Law > Constitutional law
barkamen,condonación,Juridical Sciences & Law > Finance law
egiaztatu,certificar,Juridical Sciences & Law > Constitutional law
egiaztatu,acreditar; comprobar,Juridical Sciences & Law > Finance law
egitate,acción; acto,Juridical Sciences & Law > Constitutional law
egitate,hecho,Juridical Sciences & Law > Finance law
ekarpen berezi,aportación especial,Juridical Sciences & Law > Constitutional law
ekarpen berezi,aportación específica,Juridical Sciences & Law > Finance law
ekintza administratibo,acción administrativa,Juridical Sciences & Law > Constitutional law
ekintza administratibo,acto administrativo,Juridical Sciences & Law > Finance law
ekitaldi,sesión,Juridical Sciences & Law > Constitutional law
ekitaldi,ejercicio,Juridical Sciences & Law > Finance law
frogatu,probar,Juridical Sciences & Law > Constitutional law
frogatu,acreditar,Juridical Sciences & Law > Finance law
herri-ogasun,haciendo pública,Juridical Sciences & Law > Constitutional law
herri-ogasun,hacienda,Juridical Sciences & Law > Finance law
izendapen,designación; nombramiento,Juridical Sciences & Law > Constitutional law
izendapen,asignación,Juridical Sciences & Law > Finance law
kalte larri,daño grave,Juridical Sciences & Law > Constitutional law
kalte larri,perjuicio grave,Juridical Sciences & Law > Finance law
lansari,remuneración; retribución,Juridical Sciences & Law > Constitutional law
lansari,salario,Juridical Sciences & Law > Finance law
salbuespen,excepción,Juridical Sciences & Law > Constitutional law
salbuespen,exención,Juridical Sciences & Law > Finance law
sarrera,introducción,Juridical Sciences & Law > Constitutional law
sarrera,ingreso,Juridical Sciences & Law > Finance law
zerga,tributo,Juridical Sciences & Law > Constitutional law
zerga,impuesto,Juridical Sciences & Law > Finance law
