Term,Translation,Context
adostasun,conformidad,Juridical Sciences & Law > Constitutional law
adostasun,acuerdo; unanimidad,Juridical Sciences & Law > Law Philosophy
aginte,poder,Juridical Sciences & Law > Constitutional law
aginte,autoridad; mando,Juridical Sciences & Law > Law Philosophy
ahalmen,potestad,Juridical Sciences & Law > Constitutional law
ahalmen,capacidad; facultad,Juridical Sciences & Law > Law Philosophy
antolamendu,ordenamiento,Juridical Sciences & Law > Constitutional law
antolamendu,organización,Juridical Sciences & Law > Law Philosophy
arrazoi,motivo,Juridical Sciences & Law > Constitutional law
arrazoi,razón,Juridical Sciences & Law > Law Philosophy
baietsi,estimar,Juridical Sciences & Law > Constitutional law
baietsi,aceptar; consentir,Juridical Sciences & Law > Law Philosophy
baimen,autorización,Juridical Sciences & Law > Constitutional law
baimen,permiso,Juridical Sciences & Law > Law Philosophy
bereizkeria,discriminación,Juridical Sciences & Law > Constitutional law
bereizkeria,diskriminazio,Juridical Sciences & Law > Law Philosophy
berezkotasun,característica propia,Juridical Sciences & Law > Constitutional law
berezkotasun,característica; particularidad,Juridical Sciences & Law > Law Philosophy
betekizun,función; tarea,Juridical Sciences & Law > Constitutional law
betekizun,obligación,Juridical Sciences & Law > Law Philosophy
diskriminazio,discriminación,Juridical Sciences & Law > Constitutional law
diskriminazio,diskriminazio,Juridical Sciences & Law > Law Philosophy
egitate,acción; acto,Juridical Sciences & Law > Constitutional law
egitate,hecho,Juridical Sciences & Law > Law Philosophy
erakunde,institución,Juridical Sciences & Law > Constitutional law
erakunde,entidad; organismo,Juridical Sciences & Law > Law Philosophy
gaitasun,capacidad,Juridical Sciences & Law > Constitutional law
gaitasun,competencia,Juridical Sciences & Law > Law Philosophy
gizaki,persona,Juridical Sciences & Law > Constitutional law
gizaki,humano,Juridical Sciences & Law > Law Philosophy
osotasun,integridad,Juridical Sciences & Law > Constitutional law
osotasun,plenitud,Juridical Sciences & Law > Law Philosophy
urratu,violar; vulnerar,Juridical Sciences & Law > Constitutional law
urratu,infringir; transgredir,Juridical Sciences & Law > Law Philosophy
zehapen,sanción,Juridical Sciences & Law > Constitutional law
zehapen,castigo; pena,Juridical Sciences & Law > Law Philosophy
