Term,Translation,Context
adostasun,conformidad,Juridical Sciences & Law > Constitutional law
adostasun,consenso,Juridical Sciences & Law > Roman law
agintaritza,autoridad,Juridical Sciences & Law > Constitutional law
agintaritza,potestad,Juridical Sciences & Law > Roman law
ahaide,pariente,Juridical Sciences & Law > Constitutional law
ahaide,agnado,Juridical Sciences & Law > Roman law
ahaidetasun,parentesco,Juridical Sciences & Law > Constitutional law
ahaidetasun,agnación,Juridical Sciences & Law > Roman law
aitortu,confesar; declarar; reconocer,Juridical Sciences & Law > Constitutional law
aitortu,confeso,Juridical Sciences & Law > Roman law
akats,defecto,Juridical Sciences & Law > Constitutional law
akats,vicio,Juridical Sciences & Law > Roman law
arrisku,peligro,Juridical Sciences & Law > Constitutional law
arrisku,riesgo,Juridical Sciences & Law > Roman law
besterendu,delegar,Juridical Sciences & Law > Constitutional law
besterendu,enajenar,Juridical Sciences & Law > Roman law
besterentze,transferencia,Juridical Sciences & Law > Constitutional law
besterentze,enajenación,Juridical Sciences & Law > Roman law
egile,actor,Juridical Sciences & Law > Constitutional law
egile,ejecutor,Juridical Sciences & Law > Roman law
epaitegi,juzgado,Juridical Sciences & Law > Constitutional law
epaitegi,foro,Juridical Sciences & Law > Roman law
epaitu,juzgar,Juridical Sciences & Law > Constitutional law
epaitu,conocer; conocer la causa,Juridical Sciences & Law > Roman law
ikerketa,investigación,Juridical Sciences & Law > Constitutional law
ikerketa,indagación,Juridical Sciences & Law > Roman law
kalte-ordain,indemnización,Juridical Sciences & Law > Constitutional law
kalte-ordain,estimación,Juridical Sciences & Law > Roman law
malgutasun,flexibilidad,Juridical Sciences & Law > Constitutional law
malgutasun,benignitas,Juridical Sciences & Law > Roman law
nazioarteko zuzenbide,Derecho Internacional,Juridical Sciences & Law > Constitutional law
nazioarteko zuzenbide,derecho de gentes,Juridical Sciences & Law > Roman law
ohiko prozedura,procedimiento ordinario,Juridical Sciences & Law > Constitutional law
ohiko prozedura,cognición ordinaria,Juridical Sciences & Law > Roman law
salatzaile,denunciante,Juridical Sciences & Law > Constitutional law
salatzaile,delator,Juridical Sciences & Law > Roman law
