Term,Translation,Context
akats,defecto,Juridical Sciences & Law > Constitutional law
akats,error; fallo,Technological Sciences > Computer technology
aldagarritasun,movilidad,Juridical Sciences & Law > Constitutional law
aldagarritasun,modificabilidad; mutabilidad,Technological Sciences > Computer technology
aldaketa,cambio,Juridical Sciences & Law > Constitutional law
aldaketa,modificación,Technological Sciences > Computer technology
betebehar,deber; exigencia; necesidad; obligación,Juridical Sciences & Law > Constitutional law
betebehar,requerimiento,Technological Sciences > Computer technology
egoera,situación,Juridical Sciences & Law > Constitutional law
egoera,estado,Technological Sciences > Computer technology
eraginkortasun,eficacia,Juridical Sciences & Law > Constitutional law
eraginkortasun,eficiencia,Technological Sciences > Computer technology
erreserba,reserva,Juridical Sciences & Law > Constitutional law
erreserba,bloqueo; candado,Technological Sciences > Computer technology
eten,suspender,Juridical Sciences & Law > Constitutional law
eten,interrupción,Technological Sciences > Computer technology
etendura,suspensión,Juridical Sciences & Law > Constitutional law
etendura,interrupción,Technological Sciences > Computer technology
hitzarmen,convenio,Juridical Sciences & Law > Constitutional law
hitzarmen,confirmación,Technological Sciences > Computer technology
hutsegite,falta,Juridical Sciences & Law > Constitutional law
hutsegite,fallo,Technological Sciences > Computer technology
hutsune,laguna,Juridical Sciences & Law > Constitutional law
hutsune,espacio,Technological Sciences > Computer technology
jabe,dueño; propietario,Juridical Sciences & Law > Constitutional law
jabe,maestro,Technological Sciences > Computer technology
maila,grado; nivel,Juridical Sciences & Law > Constitutional law
maila,malla,Technological Sciences > Computer technology
mendekotasun,subordinación,Juridical Sciences & Law > Constitutional law
mendekotasun,dependencia,Technological Sciences > Computer technology
osagai,integrante,Juridical Sciences & Law > Constitutional law
osagai,componente,Technological Sciences > Computer technology
sarrera,introducción,Juridical Sciences & Law > Constitutional law
sarrera,entrada,Technological Sciences > Computer technology
tratatu,tratado,Juridical Sciences & Law > Constitutional law
tratatu,procesar,Technological Sciences > Computer technology
