Term,Translation,Context
atzerapen,atraso,Juridical Sciences & Law > Finance law
atzerapen,demora,Juridical Sciences & Law > Labour and Social Security law
diru-laguntza,subvención,Juridical Sciences & Law > Finance law
diru-laguntza,ayuda económica; prestación económica,Juridical Sciences & Law > Labour and Social Security law
egiaztatu,acreditar; comprobar,Juridical Sciences & Law > Finance law
egiaztatu,verificar,Juridical Sciences & Law > Labour and Social Security law
egitate,hecho,Juridical Sciences & Law > Finance law
egitate,veracidad,Juridical Sciences & Law > Labour and Social Security law
ekitaldi,ejercicio,Juridical Sciences & Law > Finance law
ekitaldi,actividad; acto,Juridical Sciences & Law > Labour and Social Security law
frogatu,acreditar,Juridical Sciences & Law > Finance law
frogatu,probar,Juridical Sciences & Law > Labour and Social Security law
funts,fondo,Juridical Sciences & Law > Finance law
funts,fundamento,Juridical Sciences & Law > Labour and Social Security law
hartzaile,acreedor,Juridical Sciences & Law > Finance law
hartzaile, receptora; receptor,Juridical Sciences & Law > Labour and Social Security law
hobari,bonificación,Juridical Sciences & Law > Finance law
hobari,mejora,Juridical Sciences & Law > Labour and Social Security law
iraungipen,extinción,Juridical Sciences & Law > Finance law
iraungipen,finalización,Juridical Sciences & Law > Labour and Social Security law
iruzur,fraude,Juridical Sciences & Law > Finance law
iruzur,engaño,Juridical Sciences & Law > Labour and Social Security law
izaera juridiko,naturaleza jurídica,Juridical Sciences & Law > Finance law
izaera juridiko,personalidad jurídica,Juridical Sciences & Law > Labour and Social Security law
izendapen,asignación,Juridical Sciences & Law > Finance law
izendapen,nombramiento,Juridical Sciences & Law > Labour and Social Security law
kuota oso,cuota íntegra,Juridical Sciences & Law > Finance law
kuota oso,cuota entera,Juridical Sciences & Law > Labour and Social Security law
kutxa bakar,unidad de caja,Juridical Sciences & Law > Finance law
kutxa bakar,caja única,Juridical Sciences & Law > Labour and Social Security law
ondasun higigarri,bien mueble,Juridical Sciences & Law > Finance law
ondasun higigarri,bien mobiliario,Juridical Sciences & Law > Labour and Social Security law
ordainbide,medio de pago,Juridical Sciences & Law > Finance law
ordainbide,procedimiento de abono,Juridical Sciences & Law > Labour and Social Security law
ordainketa,pago,Juridical Sciences & Law > Finance law
ordainketa,abono,Juridical Sciences & Law > Labour and Social Security law
ordainsari,contraprestación,Juridical Sciences & Law > Finance law
ordainsari,lansari; retribución; sueldo,Juridical Sciences & Law > Labour and Social Security law
sortzapen-epe,periodo de generación,Juridical Sciences & Law > Finance law
sortzapen-epe,plazo de devengo,Juridical Sciences & Law > Labour and Social Security law
zehaztapen,determinación,Juridical Sciences & Law > Finance law
zehaztapen,especificación,Juridical Sciences & Law > Labour and Social Security law
zigor,castigo; pena,Juridical Sciences & Law > Finance law
zigor,sanción,Juridical Sciences & Law > Labour and Social Security law
ziurtagiri,justificante,Juridical Sciences & Law > Finance law
ziurtagiri,certificado,Juridical Sciences & Law > Labour and Social Security law
