Term,Translation,Context
adierazpen grafiko,expresión gráfica; dibujo técnico; expresión gráfica,Technological Sciences > Industrial technology
adierazpen grafiko,representación gráfica,Technological Sciences > Mechanical engineering and technology
arauketa,nomalización,Technological Sciences > Industrial technology
arauketa,normalización,Technological Sciences > Mechanical engineering and technology
benetako neurri,verdadera magnitud,Technological Sciences > Industrial technology
benetako neurri,verdadera medida,Technological Sciences > Mechanical engineering and technology
fabrikazio-plano,plano constructivo; plano de ejecución,Technological Sciences > Industrial technology
fabrikazio-plano,plano de fabricación,Technological Sciences > Mechanical engineering and technology
lerro eten,línea a trazos,Technological Sciences > Industrial technology
lerro eten,línea discontinua,Technological Sciences > Mechanical engineering and technology
multzo-plano,dibujo de conjunto,Technological Sciences > Industrial technology
multzo-plano,plano de conjunto,Technological Sciences > Mechanical engineering and technology
muntaketa-plano,dibujo de despiece; dibujo de montaje,Technological Sciences > Industrial technology
muntaketa-plano,plano de montaje,Technological Sciences > Mechanical engineering and technology
muntatu,ensamblar,Technological Sciences > Industrial technology
muntatu,montar,Technological Sciences > Mechanical engineering and technology
normalizazio,nomalización,Technological Sciences > Industrial technology
normalizazio,normalización,Technological Sciences > Mechanical engineering and technology
oinarri,base,Technological Sciences > Industrial technology
oinarri,soporte,Technological Sciences > Mechanical engineering and technology
ondoz ondoko ebakidurak,secciones sucesivas,Technological Sciences > Industrial technology
ondoz ondoko ebakidurak,cortes sucesivos,Technological Sciences > Mechanical engineering and technology
piezakatze-plano,dibujo de despiece; dibujo de montaje,Technological Sciences > Industrial technology
piezakatze-plano,plano de despiece,Technological Sciences > Mechanical engineering and technology
profil-bista,vista lateral,Technological Sciences > Industrial technology
profil-bista,vista de perfil,Technological Sciences > Mechanical engineering and technology
txikiagotze-eskala,escala de reducción,Technological Sciences > Industrial technology
txikiagotze-eskala,escala reductora,Technological Sciences > Mechanical engineering and technology
ziri,cuña,Technological Sciences > Industrial technology
ziri,clavija; pasador,Technological Sciences > Mechanical engineering and technology
zulatu,perforar,Technological Sciences > Industrial technology
zulatu,taladrar,Technological Sciences > Mechanical engineering and technology
