Term,Translation,Context
angular unconformity,diskordantzia,Earth and Space Sciences > Geology
angular unconformity,diskortantzia angular,Technological Sciences > Environmental technology and engineering
bottom,oin,Earth and Space Sciences > Geology
bottom,hondo,Technological Sciences > Environmental technology and engineering
cement,zementatu,Earth and Space Sciences > Geology
cement,zementu,Technological Sciences > Environmental technology and engineering
continental crust,kontinente-lurrazal,Earth and Space Sciences > Geology
continental crust,lurrazal kontinental,Technological Sciences > Environmental technology and engineering
continental platform,kontinente-plataforma; kontinenteetako plataforma,Earth and Space Sciences > Geology
continental platform,plataforma kontinental,Technological Sciences > Environmental technology and engineering
convergent boundary,konbergentzia-muga; muga konbergente,Earth and Space Sciences > Geology
convergent boundary,ertz konbergente,Technological Sciences > Environmental technology and engineering
deposition,metaketa,Earth and Space Sciences > Geology
deposition,deposizio; jalkiera,Technological Sciences > Environmental technology and engineering
divergent boundary,muga dibergente,Earth and Space Sciences > Geology
divergent boundary,ertz dibergente,Technological Sciences > Environmental technology and engineering
ductile deformation,deformazio moldakor,Earth and Space Sciences > Geology
ductile deformation,deformazio duktil,Technological Sciences > Environmental technology and engineering
extension,estentsio,Earth and Space Sciences > Geology
extension,hedadura,Technological Sciences > Environmental technology and engineering
flow,kolada,Earth and Space Sciences > Geology
flow,emari; fluxu; jario,Technological Sciences > Environmental technology and engineering
height,kota,Earth and Space Sciences > Geology
height,altuera; garaiera,Technological Sciences > Environmental technology and engineering
intrusive rock,arroka intrusibo,Earth and Space Sciences > Geology
intrusive rock,arroka plutoniko,Technological Sciences > Environmental technology and engineering
plate tectonics,plaka-tektonika,Earth and Space Sciences > Geology
plate tectonics,plaken tektonika,Technological Sciences > Environmental technology and engineering
sedimentation rate,sedimentazio-tasa,Earth and Space Sciences > Geology
sedimentation rate,jalkiera-abiadura; sedimentazio-abiadura,Technological Sciences > Environmental technology and engineering
seismicity,sismizitate,Earth and Space Sciences > Geology
seismicity,sismikotasun,Technological Sciences > Environmental technology and engineering
silt,lohi,Earth and Space Sciences > Geology
silt,limo,Technological Sciences > Environmental technology and engineering
trace element,elementu aztarna,Earth and Space Sciences > Geology
trace element,oligoelementu,Technological Sciences > Environmental technology and engineering
transform fault,faila transformakor,Earth and Space Sciences > Geology
transform fault,faila transformatzaile,Technological Sciences > Environmental technology and engineering
unconformity,etengune estratigrafiko,Earth and Space Sciences > Geology
unconformity,diskordantzia,Technological Sciences > Environmental technology and engineering
volcanic eruption,bolkan-erupzio,Earth and Space Sciences > Geology
volcanic eruption,erupzio bolkaniko; sumendi-erupzio,Technological Sciences > Environmental technology and engineering
well,zundaketa,Earth and Space Sciences > Geology
well,putzu,Technological Sciences > Environmental technology and engineering
