Term,Translation,Context
adenosine diphosphate,adenosina difosfato; adenosina-5-difosfato,Life sciences > Biochemistry and Molecular Biology
adenosine diphosphate,adenosin difosfato,Life sciences > Cell biology
adenosine monophosphate,adenosina monofosfato; adenosina-5-monofosfato,Life sciences > Biochemistry and Molecular Biology
adenosine monophosphate,adenosin monofosfato,Life sciences > Cell biology
adenosine triphosphate,adenosina trifosfato; adenosina-5-trifosfato,Life sciences > Biochemistry and Molecular Biology
adenosine triphosphate,adenosin trifosfato,Life sciences > Cell biology
cell biology,biologia zelular; zelulen biologia,Life sciences > Biochemistry and Molecular Biology
cell biology,Biologia Zelular,Life sciences > Cell biology
cell culture,zelula-hazkuntza,Life sciences > Biochemistry and Molecular Biology
cell culture,hazkuntza; hazkuntza zelular; kultibo zelular; zelulen hazkuntza,Life sciences > Cell biology
cell line,zelula-lerro,Life sciences > Biochemistry and Molecular Biology
cell line,lerro zelular,Life sciences > Cell biology
cell signaling,zelulen seinalizazio,Life sciences > Biochemistry and Molecular Biology
cell signaling,komunikazio zelular,Life sciences > Cell biology
cell suspension,zelula-suspentsio,Life sciences > Biochemistry and Molecular Biology
cell suspension,esekidura zelular,Life sciences > Cell biology
cell wall,zelula-pareta,Life sciences > Biochemistry and Molecular Biology
cell wall,pareta; pareta zelular; zelulen pareta,Life sciences > Cell biology
cytosol,zitosol,Life sciences > Biochemistry and Molecular Biology
cytosol,hialoplasma; matrize zitoplasmatiko; medio intrazelular,Life sciences > Cell biology
fibrous protein,zuntz-proteina,Life sciences > Biochemistry and Molecular Biology
fibrous protein,PFE; proteina fibrotsu estruktural,Life sciences > Cell biology
hemocytometer,hemozitometro,Life sciences > Biochemistry and Molecular Biology
hemocytometer,glia; glia-zelula; neuroglia; neuroglia-zelula,Life sciences > Cell biology
histological technique,histologia-teknika,Life sciences > Biochemistry and Molecular Biology
histological technique,teknika histologiko,Life sciences > Cell biology
osmolarity,osmolaltasun; osmolartasun,Life sciences > Biochemistry and Molecular Biology
osmolarity,osmolaritate,Life sciences > Cell biology
plasma membrane,plasma-mintz,Life sciences > Biochemistry and Molecular Biology
plasma membrane,mintz plasmatiko,Life sciences > Cell biology
preparation,prestakin,Life sciences > Biochemistry and Molecular Biology
preparation,gertakin; gertakin histologiko; gertakuntza; gertakuntza zitohistologiko; prestakuntza; prestakuntza prozesu,Life sciences > Cell biology
protein complex,proteina-konplexu,Life sciences > Biochemistry and Molecular Biology
protein complex,konplexu proteiko,Life sciences > Cell biology
pyruvic acid,azido pirubiko,Life sciences > Biochemistry and Molecular Biology
pyruvic acid,pirubato,Life sciences > Cell biology
serum,serum,Life sciences > Biochemistry and Molecular Biology
serum,suero,Life sciences > Cell biology
signal transduction,seinaleen transdukzio,Life sciences > Biochemistry and Molecular Biology
signal transduction,seinale-transdukzio,Life sciences > Cell biology
suspension,suspentsio,Life sciences > Biochemistry and Molecular Biology
suspension,esekidura,Life sciences > Cell biology
