Term,Translation,Context
activity,aktibitate,Medical Sciences > Pharmaceutical Technology
activity,jarduera,Technological Sciences > Environmental technology and engineering
agent,agente,Medical Sciences > Pharmaceutical Technology
agent,kudeatzaile,Technological Sciences > Environmental technology and engineering
assessment,zehaztapen,Medical Sciences > Pharmaceutical Technology
assessment,balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
boiling point,Irakite-puntu,Medical Sciences > Pharmaceutical Technology
boiling point,irakite-puntu; irakite-tenperatura,Technological Sciences > Environmental technology and engineering
buffer solution,disoluzio indargetzaile,Medical Sciences > Pharmaceutical Technology
buffer solution,indargetze-disoluzio,Technological Sciences > Environmental technology and engineering
cake,talo,Medical Sciences > Pharmaceutical Technology
cake,opil,Technological Sciences > Environmental technology and engineering
contact,ukipen,Medical Sciences > Pharmaceutical Technology
contact,kontaktu,Technological Sciences > Environmental technology and engineering
crystallization,kristalizazio,Medical Sciences > Pharmaceutical Technology
crystallization,kristaltze,Technological Sciences > Environmental technology and engineering
extension,luzakin,Medical Sciences > Pharmaceutical Technology
extension,hedadura,Technological Sciences > Environmental technology and engineering
gas phase,fase gaseoso,Medical Sciences > Pharmaceutical Technology
gas phase,gas fase,Technological Sciences > Environmental technology and engineering
graph,grafiko,Medical Sciences > Pharmaceutical Technology
graph,grafo,Technological Sciences > Environmental technology and engineering
heat transfer,bero-transferentzia,Medical Sciences > Pharmaceutical Technology
heat transfer,bero-transmisio; bero-transmisio; tenperatura kritiko; tenperatura kritiko,Technological Sciences > Environmental technology and engineering
heating,berokuntza,Medical Sciences > Pharmaceutical Technology
heating,beroketa; berotze,Technological Sciences > Environmental technology and engineering
hopper,kalapatxa,Medical Sciences > Pharmaceutical Technology
hopper,elikadura-tobera,Technological Sciences > Environmental technology and engineering
jet,zorrotada,Medical Sciences > Pharmaceutical Technology
jet,zurrusta,Technological Sciences > Environmental technology and engineering
kinetic energy,abiadura,Medical Sciences > Pharmaceutical Technology
kinetic energy,energia zinetiko,Technological Sciences > Environmental technology and engineering
ligand,ligando,Medical Sciences > Pharmaceutical Technology
ligand,agente konplexatzaile; estekatzaile; konplexatzaile,Technological Sciences > Environmental technology and engineering
operation,funtzionamendu,Medical Sciences > Pharmaceutical Technology
operation,eragiketa,Technological Sciences > Environmental technology and engineering
release,askapen,Medical Sciences > Pharmaceutical Technology
release,askatu; emisio; igorpen; isuri; isurketa; isurpen,Technological Sciences > Environmental technology and engineering
rubber,kautxu,Medical Sciences > Pharmaceutical Technology
rubber,kautxo,Technological Sciences > Environmental technology and engineering
saturation,asetasun,Medical Sciences > Pharmaceutical Technology
saturation,asetze; saturazio,Technological Sciences > Environmental technology and engineering
solid state,solido egoera,Medical Sciences > Pharmaceutical Technology
solid state,egoera solido,Technological Sciences > Environmental technology and engineering
spring,malguki,Medical Sciences > Pharmaceutical Technology
spring,iturburu; iturri,Technological Sciences > Environmental technology and engineering
test,test,Medical Sciences > Pharmaceutical Technology
test,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
transfer,transferentzia,Medical Sciences > Pharmaceutical Technology
transfer,trasnmisio,Technological Sciences > Environmental technology and engineering
vehicle,eramaile; garraiatzaile,Medical Sciences > Pharmaceutical Technology
vehicle,ibilgailu,Technological Sciences > Environmental technology and engineering
