Term,Translation,Context
adjustment,egokitasun,Medical Sciences > Pharmacology
adjustment,doikuntza,Technological Sciences > Electrical technology and engineering
association,elkarte,Medical Sciences > Pharmacology
association,elkarketa,Technological Sciences > Electrical technology and engineering
cell,zelula,Medical Sciences > Pharmacology
cell,gelaxka,Technological Sciences > Electrical technology and engineering
clearance,aklaramendu; garbiketa,Medical Sciences > Pharmacology
clearance,isolatze-distantzia,Technological Sciences > Electrical technology and engineering
converter,bihurtzaile,Medical Sciences > Pharmacology
converter,bihurgailu,Technological Sciences > Electrical technology and engineering
efficiency,efizientzia,Medical Sciences > Pharmacology
efficiency,errendimendu,Technological Sciences > Electrical technology and engineering
flow,fluxu,Medical Sciences > Pharmacology
flow,igaro; zeharkatu,Technological Sciences > Electrical technology and engineering
measurement,neurri,Medical Sciences > Pharmacology
measurement,neurketa,Technological Sciences > Electrical technology and engineering
period,epe,Medical Sciences > Pharmacology
period,periodo,Technological Sciences > Electrical technology and engineering
regulation,erregulazio,Medical Sciences > Pharmacology
regulation,erregelamendu,Technological Sciences > Electrical technology and engineering
release,askapen,Medical Sciences > Pharmacology
release,desarra-mekanismo; desarragailu; desarratzaile,Technological Sciences > Electrical technology and engineering
state,egoera,Medical Sciences > Pharmacology
state,erregimen,Technological Sciences > Electrical technology and engineering
stress,estres,Medical Sciences > Pharmacology
stress,esfortzu,Technological Sciences > Electrical technology and engineering
temperature,sukar,Medical Sciences > Pharmacology
temperature,tenperatura,Technological Sciences > Electrical technology and engineering
test,test,Medical Sciences > Pharmacology
test,saiakuntza,Technological Sciences > Electrical technology and engineering
transformation,eraldaketa,Medical Sciences > Pharmacology
transformation,transformazio,Technological Sciences > Electrical technology and engineering
use,erabilera,Medical Sciences > Pharmacology
use,kontsumitu,Technological Sciences > Electrical technology and engineering
