Term,Translation,Context
activity,aktibitate,Medical Sciences > Pharmacology
activity,jarduera,Technological Sciences > Environmental technology and engineering
assessment,ebaluaketa,Medical Sciences > Pharmacology
assessment,balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
cell,zelula,Medical Sciences > Pharmacology
cell,gela unitate; gelaxka,Technological Sciences > Environmental technology and engineering
combination,elkarketa; Konbinazio,Medical Sciences > Pharmacology
combination,konbinazio,Technological Sciences > Environmental technology and engineering
destruction,hondamen,Medical Sciences > Pharmacology
destruction,suntsipen,Technological Sciences > Environmental technology and engineering
diagnosis,diagnostiko,Medical Sciences > Pharmacology
diagnosis,diagnosi,Technological Sciences > Environmental technology and engineering
effectiveness,efektibitate,Medical Sciences > Pharmacology
effectiveness,eraginkortasun,Technological Sciences > Environmental technology and engineering
efficiency,efizientzia,Medical Sciences > Pharmacology
efficiency,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
elimination,kanporaketa,Medical Sciences > Pharmacology
elimination,eliminazio; ezabaketa; ezabapen; kentze,Technological Sciences > Environmental technology and engineering
evaluation,ebaluaketa,Medical Sciences > Pharmacology
evaluation,balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
evolution,aurreratze,Medical Sciences > Pharmacology
evolution,eboluzio,Technological Sciences > Environmental technology and engineering
fracture,haustura,Medical Sciences > Pharmacology
fracture,apurketa,Technological Sciences > Environmental technology and engineering
growth,hazkunde,Medical Sciences > Pharmacology
growth,hazkuntza,Technological Sciences > Environmental technology and engineering
interruption,etenaldi,Medical Sciences > Pharmacology
interruption,etendura,Technological Sciences > Environmental technology and engineering
joint,giltzadura,Medical Sciences > Pharmacology
joint,juntura; diaklasa,Technological Sciences > Environmental technology and engineering
neck,lepo,Medical Sciences > Pharmacology
neck,tximinia,Technological Sciences > Environmental technology and engineering
rate,indize; maiztasun,Medical Sciences > Pharmacology
rate,abiadura,Technological Sciences > Environmental technology and engineering
release,askapen,Medical Sciences > Pharmacology
release,askatu; emisio; igorpen; isuri; isurketa; isurpen,Technological Sciences > Environmental technology and engineering
shortage,eskasia,Medical Sciences > Pharmacology
shortage,defizit; gabezia,Technological Sciences > Environmental technology and engineering
temperature,sukar,Medical Sciences > Pharmacology
temperature,tenperatura,Technological Sciences > Environmental technology and engineering
test,test,Medical Sciences > Pharmacology
test,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
use,erabilera,Medical Sciences > Pharmacology
use,kontsumitu,Technological Sciences > Environmental technology and engineering
