Term,Translation,Context
assembly,muntaketa,Technological Sciences > Industrial technology
assembly,multzo,Technological Sciences > Mechanical engineering and technology
break line,sigi-sagako lerro,Technological Sciences > Industrial technology
break line,lerro hautsi,Technological Sciences > Mechanical engineering and technology
dimension,kota; dimentsio,Technological Sciences > Industrial technology
dimension,kotatu,Technological Sciences > Mechanical engineering and technology
drawing,marrazki,Technological Sciences > Industrial technology
drawing,plano; marrazketa,Technological Sciences > Mechanical engineering and technology
drilling,barrenaketa; hustuketa,Technological Sciences > Industrial technology
drilling,zulaketa,Technological Sciences > Mechanical engineering and technology
face,aurpegi,Technological Sciences > Industrial technology
face,enkofratu,Technological Sciences > Mechanical engineering and technology
fit,doitu,Technological Sciences > Industrial technology
fit,doikuntza,Technological Sciences > Mechanical engineering and technology
frame,xasis,Technological Sciences > Industrial technology
frame,bankada; bastidore; karkasa,Technological Sciences > Mechanical engineering and technology
gauge,txantiloi,Technological Sciences > Industrial technology
gauge,galga; kalibre,Technological Sciences > Mechanical engineering and technology
intersection,elkargune,Technological Sciences > Industrial technology
intersection,ebakigune,Technological Sciences > Mechanical engineering and technology
section,sekzio,Technological Sciences > Industrial technology
section,ebaki; moztu,Technological Sciences > Mechanical engineering and technology
shape,forma,Technological Sciences > Industrial technology
shape,karrakatu; limatu,Technological Sciences > Mechanical engineering and technology
sheet,xafla,Technological Sciences > Industrial technology
sheet,orri,Technological Sciences > Mechanical engineering and technology
stiffener,errefortzu; nerbio,Technological Sciences > Industrial technology
stiffener,indargarri; sendogarri,Technological Sciences > Mechanical engineering and technology
tangent surface,gainazal ukitzaile,Technological Sciences > Industrial technology
tangent surface,ukitze-gainazal,Technological Sciences > Mechanical engineering and technology
triangle,kartaboi,Technological Sciences > Industrial technology
triangle,hiruki; triangelu,Technological Sciences > Mechanical engineering and technology
wedge,falka; ziri,Technological Sciences > Industrial technology
wedge,txabetatu,Technological Sciences > Mechanical engineering and technology
