Term,Translation,Context
body wave,onda interna,Earth and Space Sciences > Geology
body wave,onda de volumen,Technological Sciences > Environmental technology and engineering
bottom,muro,Earth and Space Sciences > Geology
bottom,fondo,Technological Sciences > Environmental technology and engineering
cement,cementar,Earth and Space Sciences > Geology
cement,cemento,Technological Sciences > Environmental technology and engineering
compressional wave,onda de compresión,Earth and Space Sciences > Geology
compressional wave,onda compresional; onda P,Technological Sciences > Environmental technology and engineering
debris,derrubio,Earth and Space Sciences > Geology
debris,derribio; escombro,Technological Sciences > Environmental technology and engineering
deposition,depósito,Earth and Space Sciences > Geology
deposition,deposición,Technological Sciences > Environmental technology and engineering
flow,colada,Earth and Space Sciences > Geology
flow,caudal; flujo; gasto,Technological Sciences > Environmental technology and engineering
height,cota,Earth and Space Sciences > Geology
height,altura,Technological Sciences > Environmental technology and engineering
hematite,hematita; hematites,Earth and Space Sciences > Geology
hematite,hematite; oligisto,Technological Sciences > Environmental technology and engineering
island arc,arco de islas,Earth and Space Sciences > Geology
island arc,arco insular,Technological Sciences > Environmental technology and engineering
mountain range,cadena montañosa,Earth and Space Sciences > Geology
mountain range,cordón montañoso,Technological Sciences > Environmental technology and engineering
sedimentation rate,tasa de sedimentación,Earth and Space Sciences > Geology
sedimentation rate,velocidad de sedimentación,Technological Sciences > Environmental technology and engineering
substrate,"substrato, sustrato",Earth and Space Sciences > Geology
substrate,substrato; sustrato,Technological Sciences > Environmental technology and engineering
substratum,"substrato, sustrato",Earth and Space Sciences > Geology
substratum,substrato; sustrato,Technological Sciences > Environmental technology and engineering
trace element,elemento traza,Earth and Space Sciences > Geology
trace element,oligoelemento,Technological Sciences > Environmental technology and engineering
transform fault,falla transformante,Earth and Space Sciences > Geology
transform fault,falla de transformación,Technological Sciences > Environmental technology and engineering
unconformity,discontinuidad estratigráfica,Earth and Space Sciences > Geology
unconformity,discordancia,Technological Sciences > Environmental technology and engineering
volcanism,volcanismo,Earth and Space Sciences > Geology
volcanism,vulcanismo,Technological Sciences > Environmental technology and engineering
weathering,alteración meteórica,Earth and Space Sciences > Geology
weathering,meteorización,Technological Sciences > Environmental technology and engineering
well,sondeo,Earth and Space Sciences > Geology
well,pozo,Technological Sciences > Environmental technology and engineering
