Term,Translation,Context
balance,saldo,Economic Sciences > Organization and management of enterprises
balance,balance; balanza,Technological Sciences > Environmental technology and engineering
break,descanso; tiempo de descanso,Economic Sciences > Organization and management of enterprises
break,rotura; ruptura,Technological Sciences > Environmental technology and engineering
buffer,buffer,Economic Sciences > Organization and management of enterprises
buffer,amortiguador; tampón,Technological Sciences > Environmental technology and engineering
charge,adeudo; cargo; adeudar; debitar,Economic Sciences > Organization and management of enterprises
charge,carga,Technological Sciences > Environmental technology and engineering
collection,cobro,Economic Sciences > Organization and management of enterprises
collection,recogida,Technological Sciences > Environmental technology and engineering
exchange,cambio; canje,Economic Sciences > Organization and management of enterprises
exchange,intercambiar,Technological Sciences > Environmental technology and engineering
packing,embalaje,Economic Sciences > Organization and management of enterprises
packing,relleno,Technological Sciences > Environmental technology and engineering
planning,planificación,Economic Sciences > Organization and management of enterprises
planning,plan; programación; temario,Technological Sciences > Environmental technology and engineering
profit,beneficio,Economic Sciences > Organization and management of enterprises
profit,aprovechamiento,Technological Sciences > Environmental technology and engineering
return,rendimiento; rápel; rappel,Economic Sciences > Organization and management of enterprises
return,retorno,Technological Sciences > Environmental technology and engineering
settlement,liquidación,Economic Sciences > Organization and management of enterprises
settlement,poblamiento,Technological Sciences > Environmental technology and engineering
transfer,transferencia,Economic Sciences > Organization and management of enterprises
transfer,transmisión,Technological Sciences > Environmental technology and engineering
transport,transporte,Economic Sciences > Organization and management of enterprises
transport,transportar,Technological Sciences > Environmental technology and engineering
turnover,volumen de negocios,Economic Sciences > Organization and management of enterprises
turnover,volteo,Technological Sciences > Environmental technology and engineering
waste,despilfarro,Economic Sciences > Organization and management of enterprises
waste,rechazo; residuo,Technological Sciences > Environmental technology and engineering
