Term,Translation,Context
adhesion,adhesión,Life sciences > Microbiology
adhesion,adherencia,Medical Sciences > Microbiology
bovine spongiform encephalopathy,EEB; encefalopatia espongiforme bovina,Life sciences > Microbiology
bovine spongiform encephalopathy,encefalopatía espongiforma bovina,Medical Sciences > Microbiology
definitive host,hospedador definitivo,Life sciences > Microbiology
definitive host,huésped definitivo,Medical Sciences > Microbiology
epidemic outbreak,brote epidémico,Life sciences > Microbiology
epidemic outbreak,epidemia,Medical Sciences > Microbiology
host,húesped,Life sciences > Microbiology
host,huésped,Medical Sciences > Microbiology
incubation period,periodo de incubación,Life sciences > Microbiology
incubation period,tiempo de incubación,Medical Sciences > Microbiology
intermediate host,hospedador intermediario,Life sciences > Microbiology
intermediate host,huésped intermediario,Medical Sciences > Microbiology
life cycle,ciclo de vida,Life sciences > Microbiology
life cycle,ciclo vital,Medical Sciences > Microbiology
mad cow disease,mal de las vacas locas,Life sciences > Microbiology
mad cow disease,enfermedad de las vacas locas,Medical Sciences > Microbiology
plaque-forming units,unidad formadora de calvas,Life sciences > Microbiology
plaque-forming units,unidades formadoras de placas,Medical Sciences > Microbiology
poliovirus,poliovirus,Life sciences > Microbiology
poliovirus,virus de la poliomielitis,Medical Sciences > Microbiology
RNA virus,virus ARN,Life sciences > Microbiology
RNA virus,virus RNA,Medical Sciences > Microbiology
temperate virus,virus atemperado,Life sciences > Microbiology
temperate virus,virus atenuado; virus lisogénico,Medical Sciences > Microbiology
