Term,Translation,Context
action,efecto,Medical Sciences > Pharmaceutical Technology
action,acción,Medical Sciences > Pharmacology
assessment,determinación,Medical Sciences > Pharmaceutical Technology
assessment,evaluación,Medical Sciences > Pharmacology
efficiency,eficacia,Medical Sciences > Pharmaceutical Technology
efficiency,eficiencia,Medical Sciences > Pharmacology
flow,caudal,Medical Sciences > Pharmaceutical Technology
flow,flujo,Medical Sciences > Pharmacology
food,alimento,Medical Sciences > Pharmaceutical Technology
food,comida; alimentación; dieta; nutrición,Medical Sciences > Pharmacology
half life,semivida,Medical Sciences > Pharmaceutical Technology
half life,vida media,Medical Sciences > Pharmacology
level,nivel,Medical Sciences > Pharmaceutical Technology
level,grado,Medical Sciences > Pharmacology
patient,paciente,Medical Sciences > Pharmaceutical Technology
patient,enfermo,Medical Sciences > Pharmacology
pill,gragea,Medical Sciences > Pharmaceutical Technology
pill,pastilla,Medical Sciences > Pharmacology
rate,velocidad,Medical Sciences > Pharmaceutical Technology
rate,índice; frecuencia,Medical Sciences > Pharmacology
stabilizer,estabilizante,Medical Sciences > Pharmaceutical Technology
stabilizer,estabilizador,Medical Sciences > Pharmacology
stress,fuerza,Medical Sciences > Pharmaceutical Technology
stress,estrés,Medical Sciences > Pharmacology
substance,sustancia,Medical Sciences > Pharmaceutical Technology
substance,substancia,Medical Sciences > Pharmacology
temperature,temperatura,Medical Sciences > Pharmaceutical Technology
temperature,fiebre,Medical Sciences > Pharmacology
