Term,Translation,Context
activity,actividad,Medical Sciences > Pharmaceutical Technology
activity,acción,Technological Sciences > Environmental technology and engineering
agent,agente,Medical Sciences > Pharmaceutical Technology
agent,gestor,Technological Sciences > Environmental technology and engineering
assessment,determinación,Medical Sciences > Pharmaceutical Technology
assessment,evaluación; valoración,Technological Sciences > Environmental technology and engineering
efficiency,eficacia,Medical Sciences > Pharmaceutical Technology
efficiency,eficiencia; rendimiento,Technological Sciences > Environmental technology and engineering
extension,prolongación,Medical Sciences > Pharmaceutical Technology
extension,extensión,Technological Sciences > Environmental technology and engineering
filling,llenado,Medical Sciences > Pharmaceutical Technology
filling,relleno,Technological Sciences > Environmental technology and engineering
graph,grafico,Medical Sciences > Pharmaceutical Technology
graph,grafo,Technological Sciences > Environmental technology and engineering
heat transfer,transferencia de calor,Medical Sciences > Pharmaceutical Technology
heat transfer,temperatura crítica; temperatura crítica; transmisión de calor; transmisión de calor,Technological Sciences > Environmental technology and engineering
heater,estufa,Medical Sciences > Pharmaceutical Technology
heater,calentador,Technological Sciences > Environmental technology and engineering
hydrogen bond,puente de hidrogeno,Medical Sciences > Pharmaceutical Technology
hydrogen bond,enlace de hidrógeno; puente de hidrógeno,Technological Sciences > Environmental technology and engineering
ion,Ion,Medical Sciences > Pharmaceutical Technology
ion,ión,Technological Sciences > Environmental technology and engineering
operation,funcionamiento,Medical Sciences > Pharmaceutical Technology
operation,operación,Technological Sciences > Environmental technology and engineering
oxidation process,proceso oxidativo,Medical Sciences > Pharmaceutical Technology
oxidation process,proceso de oxidación,Technological Sciences > Environmental technology and engineering
release,liberación,Medical Sciences > Pharmaceutical Technology
release,liberar; emisión; vertido,Technological Sciences > Environmental technology and engineering
spring,muelle,Medical Sciences > Pharmaceutical Technology
spring,fuente; manantial,Technological Sciences > Environmental technology and engineering
test,test,Medical Sciences > Pharmaceutical Technology
test,ensayo; experimento; prueba,Technological Sciences > Environmental technology and engineering
transfer,transferencia,Medical Sciences > Pharmaceutical Technology
transfer,transmisión,Technological Sciences > Environmental technology and engineering
washing,limpieza,Medical Sciences > Pharmaceutical Technology
washing,lavado,Technological Sciences > Environmental technology and engineering
