Term,Translation,Context
branch current,intensidad de rama,Technological Sciences > Electrical technology and engineering
branch current,corriente de rama,Technological Sciences > Electronic technology
breakdown,avalancha; embalamiento,Technological Sciences > Electrical technology and engineering
breakdown,ruptura,Technological Sciences > Electronic technology
current divider,divisor de intensidad,Technological Sciences > Electrical technology and engineering
current divider,divisor de corriente,Technological Sciences > Electronic technology
delta connection,conexión en triángulo; conexión triángulo,Technological Sciences > Electrical technology and engineering
delta connection,acoplamiento en triángulo; coenxión en triángulo; conexión delta,Technological Sciences > Electronic technology
duct,tubo,Technological Sciences > Electrical technology and engineering
duct,conducto,Technological Sciences > Electronic technology
earth,masa; parte conductora accesible,Technological Sciences > Electrical technology and engineering
earth,punto de referencia de tensión; tierra,Technological Sciences > Electronic technology
feeder,línea de alimentación,Technological Sciences > Electrical technology and engineering
feeder,alimentador; cargador; cargador de baterías,Technological Sciences > Electronic technology
flow,circular,Technological Sciences > Electrical technology and engineering
flow,flujo,Technological Sciences > Electronic technology
Kirchhoff's current law,1ª ley de Kirchhoff,Technological Sciences > Electrical technology and engineering
Kirchhoff's current law,ley de Kirchhoff de las corrientes; ley de las corrientes; ley de los nodos; LKC,Technological Sciences > Electronic technology
Kirchhoff's voltage law,2ª ley de Kirchhoff,Technological Sciences > Electrical technology and engineering
Kirchhoff's voltage law,ley de Kirchhoff de las tensiones; ley de las mallas; ley de las tensiones; LKT,Technological Sciences > Electronic technology
mesh current,intensidad de malla,Technological Sciences > Electrical technology and engineering
mesh current,corriente de malla,Technological Sciences > Electronic technology
node,nudo,Technological Sciences > Electrical technology and engineering
node,nodo,Technological Sciences > Electronic technology
power supply,suministro eléctrico; alimentación eléctrica,Technological Sciences > Electrical technology and engineering
power supply,alimentación; fuente de alimentación,Technological Sciences > Electronic technology
threshold voltage,tensión de umbral,Technological Sciences > Electrical technology and engineering
threshold voltage,tensión umbral,Technological Sciences > Electronic technology
unijunction transistor,transistor de efecto de campo; transistor de unión unipolar,Technological Sciences > Electrical technology and engineering
unijunction transistor,diodo de doble base; transistor monounión; transistor uni-unión; transistor uniunión,Technological Sciences > Electronic technology
