Term,Translation,Context
available energy,energía disponible,Technological Sciences > Electrical technology and engineering
available energy,energía útil,Technological Sciences > Environmental technology and engineering
clamp,grapa,Technological Sciences > Electrical technology and engineering
clamp,brida,Technological Sciences > Environmental technology and engineering
delta,triángulo,Technological Sciences > Electrical technology and engineering
delta,delta,Technological Sciences > Environmental technology and engineering
duct,tubo,Technological Sciences > Electrical technology and engineering
duct,conducto,Technological Sciences > Environmental technology and engineering
fault,defecto; fallo; falta,Technological Sciences > Electrical technology and engineering
fault,falla,Technological Sciences > Environmental technology and engineering
flow,circular,Technological Sciences > Electrical technology and engineering
flow,caudal; flujo; gasto,Technological Sciences > Environmental technology and engineering
input,entrada,Technological Sciences > Electrical technology and engineering
input,input,Technological Sciences > Environmental technology and engineering
output,salida,Technological Sciences > Electrical technology and engineering
output,producción,Technological Sciences > Environmental technology and engineering
reactor,bobina; inductancia,Technological Sciences > Electrical technology and engineering
reactor,reactor,Technological Sciences > Environmental technology and engineering
release,disparador; mecanismo de disparo,Technological Sciences > Electrical technology and engineering
release,liberar; emisión; vertido,Technological Sciences > Environmental technology and engineering
rotation,giro,Technological Sciences > Electrical technology and engineering
rotation,rotación,Technological Sciences > Environmental technology and engineering
screen,pantalla,Technological Sciences > Electrical technology and engineering
screen,cribar,Technological Sciences > Environmental technology and engineering
sheet,chapa,Technological Sciences > Electrical technology and engineering
sheet,lámina; plancha,Technological Sciences > Environmental technology and engineering
steady state,estado permanente; régimen estable; régimen permanente,Technological Sciences > Electrical technology and engineering
steady state,estado estacionario; situación estable,Technological Sciences > Environmental technology and engineering
support,apoyo,Technological Sciences > Electrical technology and engineering
support,soporte,Technological Sciences > Environmental technology and engineering
washer,arandela,Technological Sciences > Electrical technology and engineering
washer,lavador,Technological Sciences > Environmental technology and engineering
wind,devanar,Technological Sciences > Electrical technology and engineering
wind,viento,Technological Sciences > Environmental technology and engineering
