Term,Translation,Context
borde convergente,konbergentzia-muga; muga konbergente,Earth and Space Sciences > Geology
borde convergente,ertz konbergente,Technological Sciences > Environmental technology and engineering
borde divergente,muga dibergente,Earth and Space Sciences > Geology
borde divergente,ertz dibergente,Technological Sciences > Environmental technology and engineering
cordillera,mendilerro,Earth and Space Sciences > Geology
cordillera,mendikate,Technological Sciences > Environmental technology and engineering
corteza continental,kontinente-lurrazal,Earth and Space Sciences > Geology
corteza continental,lurrazal kontinental,Technological Sciences > Environmental technology and engineering
deformación dúctil,deformazio moldakor,Earth and Space Sciences > Geology
deformación dúctil,deformazio duktil,Technological Sciences > Environmental technology and engineering
depósito,metaketa; metakin,Earth and Space Sciences > Geology
depósito,ganbara; ganbera; gordailu; biltegi,Technological Sciences > Environmental technology and engineering
discontinuidad,etengune,Earth and Space Sciences > Geology
discontinuidad,etenune,Technological Sciences > Environmental technology and engineering
erupción volcánica,bolkan-erupzio,Earth and Space Sciences > Geology
erupción volcánica,erupzio bolkaniko; sumendi-erupzio,Technological Sciences > Environmental technology and engineering
estratificación,geruzapen,Earth and Space Sciences > Geology
estratificación,estratifikazio,Technological Sciences > Environmental technology and engineering
estructura cristalina,egitura kristalino,Earth and Space Sciences > Geology
estructura cristalina,kristal-egitura,Technological Sciences > Environmental technology and engineering
extensión,estentsio,Earth and Space Sciences > Geology
extensión,hedadura,Technological Sciences > Environmental technology and engineering
falla normal,faila normal,Earth and Space Sciences > Geology
falla normal,faila arrunt,Technological Sciences > Environmental technology and engineering
limo,lohi,Earth and Space Sciences > Geology
limo,limo,Technological Sciences > Environmental technology and engineering
muro,oin,Earth and Space Sciences > Geology
muro,horma,Technological Sciences > Environmental technology and engineering
onda interna,gorputz-uhin,Earth and Space Sciences > Geology
onda interna,barneko uhin,Technological Sciences > Environmental technology and engineering
onda superficial,azal-uhin; azalera-uhin,Earth and Space Sciences > Geology
onda superficial,azaleko uhin,Technological Sciences > Environmental technology and engineering
plataforma continental,kontinente-plataforma; kontinenteetako plataforma,Earth and Space Sciences > Geology
plataforma continental,plataforma kontinental,Technological Sciences > Environmental technology and engineering
roca intrusiva,arroka intrusibo,Earth and Space Sciences > Geology
roca intrusiva,arroka plutoniko,Technological Sciences > Environmental technology and engineering
serie,segida,Earth and Space Sciences > Geology
serie,serie,Technological Sciences > Environmental technology and engineering
sismicidad,sismizitate,Earth and Space Sciences > Geology
sismicidad,sismikotasun,Technological Sciences > Environmental technology and engineering
techo,gain,Earth and Space Sciences > Geology
techo,sabai,Technological Sciences > Environmental technology and engineering
tectónica de placas,plaka-tektonika,Earth and Space Sciences > Geology
tectónica de placas,plaken tektonika,Technological Sciences > Environmental technology and engineering
