Term,Translation,Context
administración local,toki-administrazio; tokiko administrazio,Juridical Sciences & Law > Constitutional law
administración local,herri-erakunde,Juridical Sciences & Law > Finance law
anulación,deuseztatze,Juridical Sciences & Law > Constitutional law
anulación,anulazio; deuseztapen,Juridical Sciences & Law > Finance law
autorización,baimen,Juridical Sciences & Law > Constitutional law
autorización,eskuespen,Juridical Sciences & Law > Finance law
cambio,aldaketa,Juridical Sciences & Law > Constitutional law
cambio,truka-neurri,Juridical Sciences & Law > Finance law
Consejo de Ministros,ministro-kontseilu; ministroen kontseilu,Juridical Sciences & Law > Constitutional law
Consejo de Ministros,Ministroen Kontseilua,Juridical Sciences & Law > Finance law
cumplimiento,betetze,Juridical Sciences & Law > Constitutional law
cumplimiento,betepen,Juridical Sciences & Law > Finance law
declarante,adierazle,Juridical Sciences & Law > Constitutional law
declarante,aitortzaile,Juridical Sciences & Law > Finance law
Derecho Público,herri-zuzenbide,Juridical Sciences & Law > Constitutional law
Derecho Público,Zuzenbide Publiko,Juridical Sciences & Law > Finance law
diputación,diputazio,Juridical Sciences & Law > Constitutional law
diputación,aldundi,Juridical Sciences & Law > Finance law
ejecutivo,betearazle,Juridical Sciences & Law > Constitutional law
ejecutivo,exekutibo,Juridical Sciences & Law > Finance law
ejercicio,ariketa,Juridical Sciences & Law > Constitutional law
ejercicio,ekitaldi,Juridical Sciences & Law > Finance law
hecho,gertakari,Juridical Sciences & Law > Constitutional law
hecho,egitate,Juridical Sciences & Law > Finance law
heredero,oinordeko,Juridical Sciences & Law > Constitutional law
heredero,jaraunsle,Juridical Sciences & Law > Finance law
irretroactividad,atzeraeraginezintasun,Juridical Sciences & Law > Constitutional law
irretroactividad,atzeraeraginkortasun ez,Juridical Sciences & Law > Finance law
modificar,aldatu,Juridical Sciences & Law > Constitutional law
modificar,aldarazi,Juridical Sciences & Law > Finance law
potestad reglamentaria,ahalmen erregelamendugile,Juridical Sciences & Law > Constitutional law
potestad reglamentaria,ahalgo erregelamendu-emaile,Juridical Sciences & Law > Finance law
principio de legalidad,legezkotasun; legezkotasun-printzipio; legezkotasunaren printzipio,Juridical Sciences & Law > Constitutional law
principio de legalidad,Legezkotasun-printzipio,Juridical Sciences & Law > Finance law
reducción,murrizketa,Juridical Sciences & Law > Constitutional law
reducción,murrizpen; murriztapen; txikipen,Juridical Sciences & Law > Finance law
reglamento,araudi,Juridical Sciences & Law > Constitutional law
reglamento,erreglamentu,Juridical Sciences & Law > Finance law
retroactividad,atzeraeraginkortasun; atzeranzko eraginkortasun,Juridical Sciences & Law > Constitutional law
retroactividad,atzeraeragin; atzeraeragintasun; atzerako eragin,Juridical Sciences & Law > Finance law
suspensión,etendura,Juridical Sciences & Law > Constitutional law
suspensión,etete,Juridical Sciences & Law > Finance law
Tribunal Constitucional,konstituzio-auzitegi,Juridical Sciences & Law > Constitutional law
Tribunal Constitucional,KA; Konstituzio Auzitegi,Juridical Sciences & Law > Finance law
tributo,zerga,Juridical Sciences & Law > Constitutional law
tributo,tributu,Juridical Sciences & Law > Finance law
validez,baliotasun,Juridical Sciences & Law > Constitutional law
validez,baliozkotasun,Juridical Sciences & Law > Finance law
