Term,Translation,Context
acción,egitate,Juridical Sciences & Law > Constitutional law
acción,akzio,Juridical Sciences & Law > Roman law
actor,egile,Juridical Sciences & Law > Constitutional law
actor,akziodun; auzi-jartzaile; akusatzaile,Juridical Sciences & Law > Roman law
afinidad,elkarkidetasun,Juridical Sciences & Law > Constitutional law
afinidad,afinidad,Juridical Sciences & Law > Roman law
censo,errolda,Juridical Sciences & Law > Constitutional law
censo,zentsu,Juridical Sciences & Law > Roman law
composición,osaera,Juridical Sciences & Law > Constitutional law
composición,konposizio,Juridical Sciences & Law > Roman law
demanda,eskakizun; eskari,Juridical Sciences & Law > Constitutional law
demanda,demanda,Juridical Sciences & Law > Roman law
derecho,eskubide,Juridical Sciences & Law > Constitutional law
derecho,justizia; zuzenbide,Juridical Sciences & Law > Roman law
error,oker,Juridical Sciences & Law > Constitutional law
error,errore,Juridical Sciences & Law > Roman law
excepción,salbuespen,Juridical Sciences & Law > Constitutional law
excepción,exzepzio,Juridical Sciences & Law > Roman law
gracia,barkamen,Juridical Sciences & Law > Constitutional law
gracia,grazia,Juridical Sciences & Law > Roman law
heredero,oinordeko,Juridical Sciences & Law > Constitutional law
heredero,jaraunsle,Juridical Sciences & Law > Roman law
mandato,agintaldi,Juridical Sciences & Law > Constitutional law
mandato,Printzearen mandatu,Juridical Sciences & Law > Roman law
mayor de edad,adindun,Juridical Sciences & Law > Constitutional law
mayor de edad,adin nagusiko,Juridical Sciences & Law > Roman law
obligación,behar; betebehar; eginbehar; eginbide,Juridical Sciences & Law > Constitutional law
obligación,obligazio,Juridical Sciences & Law > Roman law
potestad,ahalmen,Juridical Sciences & Law > Constitutional law
potestad,agintaritza; potestate,Juridical Sciences & Law > Roman law
proceso,auzibide,Juridical Sciences & Law > Constitutional law
proceso,auzi; epaiketa; judizio,Juridical Sciences & Law > Roman law
prueba,erakusgarri,Juridical Sciences & Law > Constitutional law
prueba,frogaketa,Juridical Sciences & Law > Roman law
sucesión,hurrenkera; oinordetza,Juridical Sciences & Law > Constitutional law
sucesión,oinordekotza; ondorengotza,Juridical Sciences & Law > Roman law
uso,erabilera,Juridical Sciences & Law > Constitutional law
uso,usaera,Juridical Sciences & Law > Roman law
violencia,bortxa; indarkeria,Juridical Sciences & Law > Constitutional law
violencia,biolentzia,Juridical Sciences & Law > Roman law
