Term,Translation,Context
argumento,arrazoibide,Juridical Sciences & Law > Constitutional law
argumento,argumentu,Mathematics > Analysis and functional analysis
beneficio,onura,Juridical Sciences & Law > Constitutional law
beneficio,mozkin,Mathematics > Analysis and functional analysis
composición,osaera,Juridical Sciences & Law > Constitutional law
composición,konposaketa; konposizio,Mathematics > Analysis and functional analysis
continuidad,iraunkortasun,Juridical Sciences & Law > Constitutional law
continuidad,jarraitutasun,Mathematics > Analysis and functional analysis
diferencia,bereizte,Juridical Sciences & Law > Constitutional law
diferencia,diferentzia; kendura; kenketa,Mathematics > Analysis and functional analysis
división,banaketa,Juridical Sciences & Law > Constitutional law
división,zatiketa,Mathematics > Analysis and functional analysis
error,oker,Juridical Sciences & Law > Constitutional law
error,errore,Mathematics > Analysis and functional analysis
examinar,arakatu,Juridical Sciences & Law > Constitutional law
examinar,aztertu,Mathematics > Analysis and functional analysis
forma,era,Juridical Sciences & Law > Constitutional law
forma,forma,Mathematics > Analysis and functional analysis
función,betekizun; eginkizun,Juridical Sciences & Law > Constitutional law
función,aplikazio; funtzio,Mathematics > Analysis and functional analysis
límite,muga,Juridical Sciences & Law > Constitutional law
límite,limite,Mathematics > Analysis and functional analysis
miembro,kide,Juridical Sciences & Law > Constitutional law
miembro,atal,Mathematics > Analysis and functional analysis
norma,arau,Juridical Sciences & Law > Constitutional law
norma,norma,Mathematics > Analysis and functional analysis
orden,hurrenkera,Juridical Sciences & Law > Constitutional law
orden,ordena,Mathematics > Analysis and functional analysis
periodo,aldi,Juridical Sciences & Law > Constitutional law
periodo,periodo,Mathematics > Analysis and functional analysis
prueba,erakusgarri,Juridical Sciences & Law > Constitutional law
prueba,froga,Mathematics > Analysis and functional analysis
rango,lerrun,Juridical Sciences & Law > Constitutional law
rango,hein,Mathematics > Analysis and functional analysis
representación,ordezkaritza,Juridical Sciences & Law > Constitutional law
representación,adierazpen; errepresentazio; rudikapen,Mathematics > Analysis and functional analysis
sección,sail,Juridical Sciences & Law > Constitutional law
sección,sekzio,Mathematics > Analysis and functional analysis
sucesión,hurrenkera; oinordetza,Juridical Sciences & Law > Constitutional law
sucesión,segida; sekuentzia,Mathematics > Analysis and functional analysis
