Term,Translation,Context
argumento,arrazoibide,Juridical Sciences & Law > Constitutional law
argumento,argumentu,Technological Sciences > Computer technology
capacidad,gaitasun,Juridical Sciences & Law > Constitutional law
capacidad,edukiera,Technological Sciences > Computer technology
declaración,adierazpen; aitorpen,Juridical Sciences & Law > Constitutional law
declaración,deklarazio; erazagupen,Technological Sciences > Computer technology
ejecutar,betearazi,Juridical Sciences & Law > Constitutional law
ejecutar,egikaritu; exekutatu,Technological Sciences > Computer technology
error,oker,Juridical Sciences & Law > Constitutional law
error,akats; errore,Technological Sciences > Computer technology
función,betekizun; eginkizun,Juridical Sciences & Law > Constitutional law
función,funtzio,Technological Sciences > Computer technology
integridad,osotasun,Juridical Sciences & Law > Constitutional law
integridad,integritate,Technological Sciences > Computer technology
padre,aita,Juridical Sciences & Law > Constitutional law
padre,guraso,Technological Sciences > Computer technology
permanencia,egonkortasun,Juridical Sciences & Law > Constitutional law
permanencia,iraunkortasun,Technological Sciences > Computer technology
plan,egitamu,Juridical Sciences & Law > Constitutional law
plan,plangintza,Technological Sciences > Computer technology
procesar,auziperatu; auzipetu,Juridical Sciences & Law > Constitutional law
procesar,prozesatu; tratatu,Technological Sciences > Computer technology
proceso,auzibide,Juridical Sciences & Law > Constitutional law
proceso,prozesu,Technological Sciences > Computer technology
programa,egitamu,Juridical Sciences & Law > Constitutional law
programa,aplikazio-programa; programa,Technological Sciences > Computer technology
prueba,erakusgarri,Juridical Sciences & Law > Constitutional law
prueba,proba,Technological Sciences > Computer technology
representación,ordezkaritza,Juridical Sciences & Law > Constitutional law
representación,adierazpide; errepresentazio,Technological Sciences > Computer technology
resolución,ebazpen,Juridical Sciences & Law > Constitutional law
resolución,bereizmen,Technological Sciences > Computer technology
reunión,bilkura,Juridical Sciences & Law > Constitutional law
reunión,konbinazio,Technological Sciences > Computer technology
sentencia,epai,Juridical Sciences & Law > Constitutional law
sentencia,agindu; instrukzio; sententzia,Technological Sciences > Computer technology
transferencia,besterentze,Juridical Sciences & Law > Constitutional law
transferencia,transferentzia,Technological Sciences > Computer technology
validez,baliotasun,Juridical Sciences & Law > Constitutional law
validez,baliozkotasun,Technological Sciences > Computer technology
