Term,Translation,Context
ácido pirúvico,azido pirubiko,Life sciences > Biochemistry and Molecular Biology
ácido pirúvico,pirubato,Life sciences > Cell biology
biología celular,biologia zelular; zelulen biologia,Life sciences > Biochemistry and Molecular Biology
biología celular,Biologia Zelular,Life sciences > Cell biology
ciclo celular,ziklo zelular,Life sciences > Biochemistry and Molecular Biology
ciclo celular,zelularen ziklo; zelulen ziklo,Life sciences > Cell biology
citosol,zitosol,Life sciences > Biochemistry and Molecular Biology
citosol,hialoplasma; matrize zitoplasmatiko; medio intrazelular,Life sciences > Cell biology
colorante,koloratzaile,Life sciences > Biochemistry and Molecular Biology
colorante,tindatzaile,Life sciences > Cell biology
complejo proteico,proteina-konplexu,Life sciences > Biochemistry and Molecular Biology
complejo proteico,konplexu proteiko,Life sciences > Cell biology
cultivo celular,zelula-hazkuntza,Life sciences > Biochemistry and Molecular Biology
cultivo celular,hazkuntza; hazkuntza zelular; kultibo zelular; zelulen hazkuntza,Life sciences > Cell biology
fibra,zuntz,Life sciences > Biochemistry and Molecular Biology
fibra,filamentu; harizpi; piru,Life sciences > Cell biology
fosfocreatina,fosfokreatina,Life sciences > Biochemistry and Molecular Biology
fosfocreatina,kreatina fosfato,Life sciences > Cell biology
hemocitómetro,hemozitometro,Life sciences > Biochemistry and Molecular Biology
hemocitómetro,Neubauer ganbera,Life sciences > Cell biology
medio de cultivo,hazkuntza-medio,Life sciences > Biochemistry and Molecular Biology
medio de cultivo,kultibo-medio,Life sciences > Cell biology
membrana plasmática,plasma-mintz,Life sciences > Biochemistry and Molecular Biology
membrana plasmática,mintz plasmatiko,Life sciences > Cell biology
modelo del mosaico fluido,mosaiko fluidoaren eredua,Life sciences > Biochemistry and Molecular Biology
modelo del mosaico fluido,mosaiko jariakor eredua,Life sciences > Cell biology
músculo esquelético,muskulu eskeletiko,Life sciences > Biochemistry and Molecular Biology
músculo esquelético,muskulu ildaskatu,Life sciences > Cell biology
músculo liso,muskulu liso,Life sciences > Biochemistry and Molecular Biology
músculo liso,muskulu leun,Life sciences > Cell biology
osmolaridad,osmolaltasun; osmolartasun,Life sciences > Biochemistry and Molecular Biology
osmolaridad,osmolaritate,Life sciences > Cell biology
pared celular,zelula-pareta,Life sciences > Biochemistry and Molecular Biology
pared celular,pareta; pareta zelular; zelulen pareta,Life sciences > Cell biology
preparación,prestakin,Life sciences > Biochemistry and Molecular Biology
preparación,gertakuntza; gertakuntza zitohistologiko; prestakuntza; prestakuntza prozesu; gertakin; gertakin histologiko,Life sciences > Cell biology
proliferación celular,proliferazio zelular,Life sciences > Biochemistry and Molecular Biology
proliferación celular,zelula-hazkunde,Life sciences > Cell biology
residuo,hondar,Life sciences > Biochemistry and Molecular Biology
residuo,hondakin,Life sciences > Cell biology
suero,serum,Life sciences > Biochemistry and Molecular Biology
suero,suero,Life sciences > Cell biology
suspensión,suspentsio,Life sciences > Biochemistry and Molecular Biology
suspensión,esekidura,Life sciences > Cell biology
suspensión celular,zelula-suspentsio,Life sciences > Biochemistry and Molecular Biology
suspensión celular,esekidura zelular,Life sciences > Cell biology
técnica histológica,histologia-teknika,Life sciences > Biochemistry and Molecular Biology
técnica histológica,teknika histologiko,Life sciences > Cell biology
