Term,Translation,Context
adaptación,moldaketa; moldatze,Technological Sciences > Environmental technology and engineering
adaptación,egokitzapen,Technological Sciences > Telecommunications technology
conversión,konbertsio,Technological Sciences > Environmental technology and engineering
conversión,bihurketa,Technological Sciences > Telecommunications technology
descomposición,degradazio; deskonposatze; deskonposizio; hondaketa,Technological Sciences > Environmental technology and engineering
descomposición,deskonposaketa,Technological Sciences > Telecommunications technology
desviación estándar,desbideratze estandar; desbideratze normal; dispertsio-koefiziente; sakabanatze-koefiziente,Technological Sciences > Environmental technology and engineering
desviación estándar,desbiderapen estandar; desbiderapen tipiko,Technological Sciences > Telecommunications technology
dispositivo,dispositibo,Technological Sciences > Environmental technology and engineering
dispositivo,gailu,Technological Sciences > Telecommunications technology
distribución de Gauss,banaketa normal; distribuzio normal; Gauss-en banaketa; Gauss-en distribuzioa,Technological Sciences > Environmental technology and engineering
distribución de Gauss,banaketa gausstar,Technological Sciences > Telecommunications technology
distribución normal,banaketa normal; distribuzio normal; Gauss-en banaketa; Gauss-en distribuzioa,Technological Sciences > Environmental technology and engineering
distribución normal,banaketa gausstar,Technological Sciences > Telecommunications technology
eliminación,eliminazio; ezabaketa; ezabapen; kentze,Technological Sciences > Environmental technology and engineering
eliminación,ezabatze,Technological Sciences > Telecommunications technology
estación,urtaro,Technological Sciences > Environmental technology and engineering
estación,estazio,Technological Sciences > Telecommunications technology
interfase,fasearte,Technological Sciences > Environmental technology and engineering
interfase,interfaze,Technological Sciences > Telecommunications technology
interrupción,etendura,Technological Sciences > Environmental technology and engineering
interrupción,etenaldi,Technological Sciences > Telecommunications technology
procesado,prozesamendu,Technological Sciences > Environmental technology and engineering
procesado,prozesaketa; prozesatze,Technological Sciences > Telecommunications technology
programación,egitarau,Technological Sciences > Environmental technology and engineering
programación,programazio,Technological Sciences > Telecommunications technology
propagación,hedatze,Technological Sciences > Environmental technology and engineering
propagación,hedapen; propagazio,Technological Sciences > Telecommunications technology
realimentación,atzera-lotura,Technological Sciences > Environmental technology and engineering
realimentación,atzeraelikadura; berrelikadura,Technological Sciences > Telecommunications technology
superposición,gainezarpen,Technological Sciences > Environmental technology and engineering
superposición,gainjartze,Technological Sciences > Telecommunications technology
transmisión,trasnmisio,Technological Sciences > Environmental technology and engineering
transmisión,igorpen; transmisio,Technological Sciences > Telecommunications technology
umbral,atalase; muga-balio,Technological Sciences > Environmental technology and engineering
umbral,atari,Technological Sciences > Telecommunications technology
valor umbral,atalase; muga-balio,Technological Sciences > Environmental technology and engineering
valor umbral,atari-balio,Technological Sciences > Telecommunications technology
viabilidad,eginkortasun,Technological Sciences > Environmental technology and engineering
viabilidad,bideragarritasun,Technological Sciences > Telecommunications technology
