Term,Translation,Context
ajuste,fitting,Medical Sciences > Pharmaceutical Technology
ajuste,adjustment; setting,Technological Sciences > Electrical technology and engineering
aparato,machine,Medical Sciences > Pharmaceutical Technology
aparato,apparatus; device,Technological Sciences > Electrical technology and engineering
carga,charge,Medical Sciences > Pharmaceutical Technology
carga,load,Technological Sciences > Electrical technology and engineering
carga eléctrica,electric charge,Medical Sciences > Pharmaceutical Technology
carga eléctrica,electric load; electrical load,Technological Sciences > Electrical technology and engineering
componente,ingredient,Medical Sciences > Pharmaceutical Technology
componente,component; element,Technological Sciences > Electrical technology and engineering
condensador,condenser,Medical Sciences > Pharmaceutical Technology
condensador,capacitor,Technological Sciences > Electrical technology and engineering
contador,counter,Medical Sciences > Pharmaceutical Technology
contador,electric meter; energy meter,Technological Sciences > Electrical technology and engineering
eje,axis,Medical Sciences > Pharmaceutical Technology
eje,shaft,Technological Sciences > Electrical technology and engineering
ensayo,assay,Medical Sciences > Pharmaceutical Technology
ensayo,test,Technological Sciences > Electrical technology and engineering
entrada,entrance,Medical Sciences > Pharmaceutical Technology
entrada,input,Technological Sciences > Electrical technology and engineering
fuerza,stress,Medical Sciences > Pharmaceutical Technology
fuerza,force,Technological Sciences > Electrical technology and engineering
inductor,inducer,Medical Sciences > Pharmaceutical Technology
inductor,field system; inductor,Technological Sciences > Electrical technology and engineering
masa,mass,Medical Sciences > Pharmaceutical Technology
masa,earth; exposed conductive part; earthing; ground connection,Technological Sciences > Electrical technology and engineering
módulo,module,Medical Sciences > Pharmaceutical Technology
módulo,modulus,Technological Sciences > Electrical technology and engineering
reactivo,reagent,Medical Sciences > Pharmaceutical Technology
reactivo,reactive,Technological Sciences > Electrical technology and engineering
rendimiento,yield,Medical Sciences > Pharmaceutical Technology
rendimiento,efficiency; performance,Technological Sciences > Electrical technology and engineering
reparto,partition,Medical Sciences > Pharmaceutical Technology
reparto,distribution,Technological Sciences > Electrical technology and engineering
suspensión,suspension,Medical Sciences > Pharmaceutical Technology
suspensión,hanging,Technological Sciences > Electrical technology and engineering
tensión,tension,Medical Sciences > Pharmaceutical Technology
tensión,potential difference; voltage,Technological Sciences > Electrical technology and engineering
tubo,tube,Medical Sciences > Pharmaceutical Technology
tubo,conduit; duct; pipe,Technological Sciences > Electrical technology and engineering
velocidad,rate,Medical Sciences > Pharmaceutical Technology
velocidad,speed; velocity,Technological Sciences > Electrical technology and engineering
velocidad de giro,rotation rate,Medical Sciences > Pharmaceutical Technology
velocidad de giro,rotational speed; speed of revolution; speed of rotation; velocity of rotation,Technological Sciences > Electrical technology and engineering
