Term,Translation,Context
aislante,isolator,Physics > Aplied Physics
aislante,insulator,Physics > Electro-magnetism
cable,cable,Physics > Aplied Physics
cable,wire,Physics > Electro-magnetism
conductividad eléctrica,electric conductivity,Physics > Aplied Physics
conductividad eléctrica,electrical conductivity,Physics > Electro-magnetism
conexión en serie,series connection,Physics > Aplied Physics
conexión en serie,association in series; series conection,Physics > Electro-magnetism
frecuencia,frecuency,Physics > Aplied Physics
frecuencia,frequency,Physics > Electro-magnetism
frecuencia angular,angular frecuency,Physics > Aplied Physics
frecuencia angular,angular frequency; pulsation,Physics > Electro-magnetism
fuerza electromotriz inducida,induced emf,Physics > Aplied Physics
fuerza electromotriz inducida,induced electromotive force,Physics > Electro-magnetism
intensidad inducida,induced current; intensidad inducida,Physics > Aplied Physics
intensidad inducida,induced intensity,Physics > Electro-magnetism
interruptor,switch,Physics > Aplied Physics
interruptor,breaker,Physics > Electro-magnetism
magnitud,magnitude,Physics > Aplied Physics
magnitud,physical quantity; quantity,Physics > Electro-magnetism
magnitud física,phisical magnitude,Physics > Aplied Physics
magnitud física,physical quantity; quantity,Physics > Electro-magnetism
movimiento de rotación,rotary motion,Physics > Aplied Physics
movimiento de rotación,rotating motion; rotational motion,Physics > Electro-magnetism
orientación,sense,Physics > Aplied Physics
orientación,orientation,Physics > Electro-magnetism
polarizar,polarise,Physics > Aplied Physics
polarizar,polarize,Physics > Electro-magnetism
radio,radio,Physics > Aplied Physics
radio,radius,Physics > Electro-magnetism
resistencia eléctrica,electric resistence,Physics > Aplied Physics
resistencia eléctrica,electrical resistance,Physics > Electro-magnetism
sistema de cargas,charge system,Physics > Aplied Physics
sistema de cargas,system of charges,Physics > Electro-magnetism
sistema de partículas,system of particles,Physics > Aplied Physics
sistema de partículas,particle system,Physics > Electro-magnetism
sólido rígido,rigid solid,Physics > Aplied Physics
sólido rígido,rigid body; solid body,Physics > Electro-magnetism
sonda,sonde,Physics > Aplied Physics
sonda,probe,Physics > Electro-magnetism
vector velocidad,velocity vector,Physics > Aplied Physics
vector velocidad,linear velocity; speed; velocity,Physics > Electro-magnetism
