Term,Translation,Context
ajuste,ajustement,Technological Sciences > Construction technology
ajuste,adjustment; setting,Technological Sciences > Electrical technology and engineering
armadura,truss,Technological Sciences > Construction technology
armadura,armature; armour,Technological Sciences > Electrical technology and engineering
compensador,compensateur,Technological Sciences > Construction technology
compensador,compensator,Technological Sciences > Electrical technology and engineering
cordón,bead; chord; weld bead,Technological Sciences > Construction technology
cordón,cord,Technological Sciences > Electrical technology and engineering
cubierta,cover; roof,Technological Sciences > Construction technology
cubierta,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
eje,axis,Technological Sciences > Construction technology
eje,shaft,Technological Sciences > Electrical technology and engineering
estabilidad estática,static stability,Technological Sciences > Construction technology
estabilidad estática,steady-state stability,Technological Sciences > Electrical technology and engineering
giro,gyration,Technological Sciences > Construction technology
giro,rotation,Technological Sciences > Electrical technology and engineering
hipótesis de carga,design load,Technological Sciences > Construction technology
hipótesis de carga,loading assumption,Technological Sciences > Electrical technology and engineering
masa,mass,Technological Sciences > Construction technology
masa,earth; exposed conductive part; earthing; ground connection,Technological Sciences > Electrical technology and engineering
módulo,module,Technological Sciences > Construction technology
módulo,modulus,Technological Sciences > Electrical technology and engineering
nudo,knot; panel point,Technological Sciences > Construction technology
nudo,node,Technological Sciences > Electrical technology and engineering
panel solar,solar cell panel,Technological Sciences > Construction technology
panel solar,PV panel; solar panel,Technological Sciences > Electrical technology and engineering
par,couple,Technological Sciences > Construction technology
par,torque; torque,Technological Sciences > Electrical technology and engineering
par de fuerzas,couple,Technological Sciences > Construction technology
par de fuerzas,torque,Technological Sciences > Electrical technology and engineering
posición,position,Technological Sciences > Construction technology
posición,bay,Technological Sciences > Electrical technology and engineering
puente,bridge,Technological Sciences > Construction technology
puente,jumper,Technological Sciences > Electrical technology and engineering
sistema de referencia,frame system,Technological Sciences > Construction technology
sistema de referencia,reference system,Technological Sciences > Electrical technology and engineering
suma vectorial,vector sum,Technological Sciences > Construction technology
suma vectorial,sum of phasors,Technological Sciences > Electrical technology and engineering
tensión,stress; tension,Technological Sciences > Construction technology
tensión,potential difference; voltage,Technological Sciences > Electrical technology and engineering
tensión admisible,allowable stress,Technological Sciences > Construction technology
tensión admisible,permissible voltage,Technological Sciences > Electrical technology and engineering
torsión,torsion,Technological Sciences > Construction technology
torsión,torque,Technological Sciences > Electrical technology and engineering
triángulo,triangle,Technological Sciences > Construction technology
triángulo,delta,Technological Sciences > Electrical technology and engineering
