Term,Translation,Context
alimentación,supply,Technological Sciences > Electrical technology and engineering
alimentación,feed,Technological Sciences > Environmental technology and engineering
carga eléctrica,electric load; electrical load,Technological Sciences > Electrical technology and engineering
carga eléctrica,electric charge; electrical charge,Technological Sciences > Environmental technology and engineering
central eléctrica,electric power plant; electric power station; power station,Technological Sciences > Electrical technology and engineering
central eléctrica,electric plant,Technological Sciences > Environmental technology and engineering
condensador,capacitor,Technological Sciences > Electrical technology and engineering
condensador,condenser,Technological Sciences > Environmental technology and engineering
contador,electric meter; energy meter,Technological Sciences > Electrical technology and engineering
contador,counter,Technological Sciences > Environmental technology and engineering
cubierta,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
cubierta,roof,Technological Sciences > Environmental technology and engineering
eje,shaft,Technological Sciences > Electrical technology and engineering
eje,axis,Technological Sciences > Environmental technology and engineering
equivalencia,equivalence,Technological Sciences > Electrical technology and engineering
equivalencia,equivalencia,Technological Sciences > Environmental technology and engineering
estado estacionario,steady-state,Technological Sciences > Electrical technology and engineering
estado estacionario,stable condition; stationary phase; steady state,Technological Sciences > Environmental technology and engineering
flujo,flux,Technological Sciences > Electrical technology and engineering
flujo,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
galería,cable tunnel,Technological Sciences > Electrical technology and engineering
galería,gallery,Technological Sciences > Environmental technology and engineering
lecho fluido,fluid bed; fluidised bed,Technological Sciences > Electrical technology and engineering
lecho fluido,fluidized bed,Technological Sciences > Environmental technology and engineering
núcleo,core,Technological Sciences > Electrical technology and engineering
núcleo,nucleus,Technological Sciences > Environmental technology and engineering
principio de conservación de la energía,principle of conservation of energy,Technological Sciences > Electrical technology and engineering
principio de conservación de la energía,law of conservation of energy,Technological Sciences > Environmental technology and engineering
reactivo,reactive,Technological Sciences > Electrical technology and engineering
reactivo,reactant; reagent,Technological Sciences > Environmental technology and engineering
relleno,backfill,Technological Sciences > Electrical technology and engineering
relleno,packing; filling,Technological Sciences > Environmental technology and engineering
resistencia eléctrica,ohmic resistance,Technological Sciences > Electrical technology and engineering
resistencia eléctrica,electrical resistance,Technological Sciences > Environmental technology and engineering
suspensión,hanging,Technological Sciences > Electrical technology and engineering
suspensión,suspension,Technological Sciences > Environmental technology and engineering
tensión,potential difference; voltage,Technological Sciences > Electrical technology and engineering
tensión,tension,Technological Sciences > Environmental technology and engineering
torsión,torque,Technological Sciences > Electrical technology and engineering
torsión,torsion,Technological Sciences > Environmental technology and engineering
transportar,transmit,Technological Sciences > Electrical technology and engineering
transportar,transport,Technological Sciences > Environmental technology and engineering
ventilador,fan,Technological Sciences > Electrical technology and engineering
ventilador,blower; ventilator,Technological Sciences > Environmental technology and engineering
zanja,trench,Technological Sciences > Electrical technology and engineering
zanja,ditch,Technological Sciences > Environmental technology and engineering
