Term,Translation,Context
acoplar,connect,Technological Sciences > Electrical technology and engineering
acoplar,couple; scarf,Technological Sciences > Mechanical engineering and technology
ajuste,adjustment; setting,Technological Sciences > Electrical technology and engineering
ajuste,fit,Technological Sciences > Mechanical engineering and technology
ángulo de inclinación,tilt angle,Technological Sciences > Electrical technology and engineering
ángulo de inclinación,angle of inclination,Technological Sciences > Mechanical engineering and technology
árbol,tree,Technological Sciences > Electrical technology and engineering
árbol,axle; shaft,Technological Sciences > Mechanical engineering and technology
calibre,calibre; rating,Technological Sciences > Electrical technology and engineering
calibre,gauge,Technological Sciences > Mechanical engineering and technology
cubierta,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
cubierta,cover,Technological Sciences > Mechanical engineering and technology
deslizamiento,slip,Technological Sciences > Electrical technology and engineering
deslizamiento,sliding,Technological Sciences > Mechanical engineering and technology
deslizar,slip,Technological Sciences > Electrical technology and engineering
deslizar,slide,Technological Sciences > Mechanical engineering and technology
eje de transmisión,dumb-bell shaft; spacer shaft,Technological Sciences > Electrical technology and engineering
eje de transmisión,drive shaft,Technological Sciences > Mechanical engineering and technology
herraje,brackets; end metal fitting,Technological Sciences > Electrical technology and engineering
herraje,iron fitting,Technological Sciences > Mechanical engineering and technology
módulo,modulus,Technological Sciences > Electrical technology and engineering
módulo,module,Technological Sciences > Mechanical engineering and technology
par motor,driving torque; motor torque,Technological Sciences > Electrical technology and engineering
par motor,engine torque,Technological Sciences > Mechanical engineering and technology
rectificar,rectify,Technological Sciences > Electrical technology and engineering
rectificar,grind,Technological Sciences > Mechanical engineering and technology
representación gráfica,graphical representation,Technological Sciences > Electrical technology and engineering
representación gráfica,graphic representation,Technological Sciences > Mechanical engineering and technology
rodete,turbine wheel,Technological Sciences > Electrical technology and engineering
rodete,booster; impeller,Technological Sciences > Mechanical engineering and technology
suspensión,hanging,Technological Sciences > Electrical technology and engineering
suspensión,suspension,Technological Sciences > Mechanical engineering and technology
torsión,torque,Technological Sciences > Electrical technology and engineering
torsión,torsion,Technological Sciences > Mechanical engineering and technology
triángulo,delta,Technological Sciences > Electrical technology and engineering
triángulo,triangle,Technological Sciences > Mechanical engineering and technology
velocidad de rotación,rotational speed; speed of revolution; speed of rotation; velocity of rotation,Technological Sciences > Electrical technology and engineering
velocidad de rotación,rotation velocity,Technological Sciences > Mechanical engineering and technology
zanja,trench,Technological Sciences > Electrical technology and engineering
zanja,ditch,Technological Sciences > Mechanical engineering and technology
