abatir	fold down	Technological Sciences > Mechanical engineering and technology
abatir	revolve	Technological Sciences > Industrial technology
absorber	absorb	Physics > General Physics specialities
absorber	absorb	Physics > Electro-magnetism
absorber	absorb	Technological Sciences > Electrical technology and engineering
absorción	absortion	Physics > Theoretical physics
absorción	absorption	Physics > General Physics specialities
absorción	absorption	Medical Sciences > Pharmaceutical Technology
absorción	absorption	Technological Sciences > Chemical technology and engineering
absorción	absorption	Medical Sciences > Medical diagnostic and Treatment Technology
absorción	absorption	Medical Sciences > Pharmacology
absorción	absorption	Physics > Electro-magnetism
absorción	absorption	Chemistry > Analytical chemistry
absorción	absorption	Technological Sciences > Environmental technology and engineering
absorción	absorption	Life sciences > Animal Biology
absorción	absorption	Chemistry > Physical chemistry
absorción	absorption	Technological Sciences > Food technology
absorción	absorption	Life sciences > Microbiology
absorción	absorption	Life sciences > Human physiology
absorción	absorption	Technological Sciences > Telecommunications technology
absorción oral	oral absorption	Medical Sciences > Pharmacology
absorción oral	oral absortion	Chemistry > Organic chemistry
acceso	access	Technological Sciences > Computer technology
acceso	access	Technological Sciences > Instrumentation technology
acceso	access	Technological Sciences > Telecommunications technology
acción	share; stock	Economic Sciences > Organization and management of enterprises
acción	activity	Technological Sciences > Environmental technology and engineering
acción	action	Medical Sciences > Pharmacology
acción	action	Mathematics > Algebra
acción	action	Physics > Mechanics
acción	action	Technological Sciences > Construction technology
acción	action	Technological Sciences > Instrumentation technology
acción	share; stock	Economic Sciences > General economics
acción	action	Physics > Electro-magnetism
acción preventiva	preventive measure	Technological Sciences > Environmental technology and engineering
acción preventiva	preventive action	Technological Sciences > Projects
aceleración	acceleration	Physics > Mechanics
aceleración	acceleration	Physics > Aplied Physics
aceleración	accelerating	Technological Sciences > Electrical technology and engineering
aceleración	acceleration	Physics > Electro-magnetism
aceleración	acceleration	Physics > General Physics specialities
aceleración	acceleration	Technological Sciences > Environmental technology and engineering
aceptor de electrones	acceptor; electron acceptor	Technological Sciences > Electronic technology
aceptor de electrones	electron-acceptor; electron-withdrawing	Chemistry > Organic chemistry
acetato	acetate	Chemistry > Physical chemistry
acetato	acetate	Technological Sciences > Environmental technology and engineering
acetato	acetate	Chemistry > Analytical chemistry
achaflanar	chamfer	Technological Sciences > Mechanical engineering and technology
achaflanar	bevel; splay	Technological Sciences > Industrial technology
ácido acético	acetic acid	Chemistry > Physical chemistry
ácido acético	acetic acid; CH<sub>3</sub>COOH	Technological Sciences > Environmental technology and engineering
ácido acético	acetid acid	Life sciences > Cell biology
ácido clorhídrico	chlorhydric acid	Medical Sciences > Pharmaceutical Technology
ácido clorhídrico	hydrochloric acid	Technological Sciences > Environmental technology and engineering
aclaramiento plasmático	plasma clearance	Medical Sciences > Pharmacology
aclaramiento plasmático	clearance	Life sciences > Human physiology
aclimatación	acclimatization	Technological Sciences > Environmental technology and engineering
aclimatación	acclimation	Life sciences > Animal Biology
acoplar	couple	Physics > Electro-magnetism
acoplar	connect	Technological Sciences > Electrical technology and engineering
acoplar	couple; scarf	Technological Sciences > Mechanical engineering and technology
acotación	boundary; bounding	Mathematics > Analysis and functional analysis
acotación	dimensioning; drawing cotation	Technological Sciences > Industrial technology
acotar	bound	Mathematics > Analysis and functional analysis
acotar	dimension	Technological Sciences > Mechanical engineering and technology
acotar	show dimension; show height	Technological Sciences > Industrial technology
actividad	activity	Life sciences > Animal Biology
actividad	activity	Chemistry > Physical chemistry
actividad	activity; decay rate	Physics > General Physics specialities
actividad	activity	Medical Sciences > Pharmaceutical Technology
actividad	activity	Medical Sciences > Pharmacology
actividad	activity	Medical Sciences > Medical diagnostic and Treatment Technology
actividad	activity	Chemistry > Analytical chemistry
actividad	activity	Physics > Thermodynamics
actividad	activity	Technological Sciences > Projects
actividad del agua	water activity	Technological Sciences > Food technology
actividad del agua	action of water; activity of water	Technological Sciences > Environmental technology and engineering
actividad del agua	water activity	Life sciences > Microbiology
actividad económica	economic activity	Economic Sciences > Organization and management of enterprises
actividad económica	economic activity	Economic Sciences > General economics
activo	asset	Economic Sciences > Organization and management of enterprises
activo	asset	Economic Sciences > General economics
activo fijo	fixed asset; non-current asset	Economic Sciences > Economic accounting
activo fijo	capital asset; fixed asset	Economic Sciences > General economics
